id,ingr,serving(g),cal/g,fat(g),carb(g),protein(g)
0,apple,200,0.52,0.002,0.14,0.003
1,banana,118,0.89,0.003,0.23,0.011
2,chicken curry,200,1.24,0.0667,0.0474,0.1147
3,chicken wings,85,3.28,0.24,0.098,0.17
4,donuts,25,4.21,0.23,0.48,0.061
5,french fries,114,3.12,0.15,0.41,0.034
6,fried chicken,90,2.461,0.118,0.019,0.304
7,fried rice,198,1.577,0.022,0.299,0.047
8,hamburgers,120,2.95,0.141,0.241,0.168
9,hot dogs,50,2.902,0.255,0.042,0.098
10,ice creams,65,2.07,0.11,0.24,0.035
11,omelette,54,1.54,0.117,0.006,0.104
12,onion rings,85,4.106,0.253,0.438,0.039
13,orange,140,0.47,0.001,0.12,0.009
14,pancakes,40,2.266,0.096,0.284,0.063
15,pizza,170,2.66,0.097,0.33,0.11
16,spaghetti,75,1.58,0.009,0.31,0.06
17,sushi,150,1.43,0.004,0.299,0.043
18,rice,200,1.3,0.003,0.28,0.027

